Note,Time On (s),Time Off (s)
36,33.285681,33.428537999999996
43,33.428537999999996,33.857109
36,33.428537999999996,33.857109
43,33.857109,34.142823
36,33.857109,34.142823
43,34.142823,34.28568
36,34.142823,34.28568
48,34.28568,34.714251
41,34.28568,34.714251
48,34.714251,34.999964999999996
41,34.714251,34.999964999999996
48,34.999964999999996,35.142822
41,34.999964999999996,35.142822
44,35.142822,35.571393
37,35.142822,35.571393
44,35.571393,35.857107
37,35.571393,35.857107
44,35.857107,35.999964
37,35.857107,35.999964
51,35.999964,36.428535
44,35.999964,36.428535
51,36.428535,36.714249
44,36.428535,36.714249
51,36.714249,36.857105999999995
44,36.714249,36.857105999999995
46,36.857105999999995,37.285677
39,36.857105999999995,37.285677
46,37.285677,37.571391
39,37.285677,37.571391
46,37.571391,37.714248
39,37.571391,37.714248
48,37.714248,38.142818999999996
41,37.714248,38.142818999999996
48,38.142818999999996,38.428532999999995
41,38.142818999999996,38.428532999999995
48,38.428532999999995,38.57139
41,38.428532999999995,38.57139
44,38.57139,38.999961
37,38.57139,38.999961
44,38.999961,39.285675
37,38.999961,39.285675
44,39.285675,39.428532
37,39.285675,39.428532
51,39.428532,39.857103
44,39.428532,39.857103
51,39.857103,40.142817
44,39.857103,40.142817
51,40.142817,40.285674
44,40.142817,40.285674
43,40.285674,40.714245
36,40.285674,40.714245
43,40.714245,40.999959
36,40.714245,40.999959
43,40.999959,41.142815999999996
36,40.999959,41.142815999999996
48,41.142815999999996,41.571386999999994
41,41.142815999999996,41.571386999999994
48,41.571386999999994,41.857101
41,41.571386999999994,41.857101
48,41.857101,41.999958
41,41.857101,41.999958
44,41.999958,42.428529
37,41.999958,42.428529
44,42.428529,42.714243
37,42.428529,42.714243
44,42.714243,42.8571
37,42.714243,42.8571
51,42.8571,43.285671
44,42.8571,43.285671
51,43.285671,43.571385
44,43.285671,43.571385
51,43.571385,43.71424199999999
44,43.571385,43.71424199999999
46,43.71424199999999,44.142813
39,43.71424199999999,44.142813
46,44.142813,44.428527
39,44.142813,44.428527
46,44.428527,44.571383999999995
39,44.428527,44.571383999999995
43,44.571383999999995,44.999955
36,44.571383999999995,44.999955
43,44.999955,45.28566899999999
36,44.999955,45.28566899999999
43,45.28566899999999,45.428526
36,45.28566899999999,45.428526
43,45.428526,45.857097
36,45.428526,45.857097
43,45.857097,46.142810999999995
36,45.857097,46.142810999999995
43,46.142810999999995,46.285667999999994
36,46.142810999999995,46.285667999999994
43,46.285667999999994,46.714239
36,46.285667999999994,46.714239
43,46.714239,46.999953
36,46.714239,46.999953
43,46.999953,47.14281
36,46.999953,47.14281
43,47.14281,47.571381
36,47.14281,47.571381
43,47.571381,47.857094999999994
36,47.571381,47.857094999999994
43,47.857094999999994,47.999952
36,47.857094999999994,47.999952
48,47.999952,48.42852299999999
41,47.999952,48.42852299999999
48,48.42852299999999,48.857094
41,48.42852299999999,48.857094
48,48.857094,49.285664999999995
41,48.857094,49.285664999999995
48,49.285664999999995,49.571379
41,49.285664999999995,49.571379
48,49.571379,49.714236
41,49.571379,49.714236
44,49.714236,50.142807
37,49.714236,50.142807
44,50.142807,50.571378
37,50.142807,50.571378
44,50.571378,50.999948999999994
37,50.571378,50.999948999999994
44,50.999948999999994,51.285663
37,50.999948999999994,51.285663
44,51.285663,51.42852
37,51.285663,51.42852
51,51.42852,51.857091
44,51.42852,51.857091
51,51.857091,52.285662
44,51.857091,52.285662
51,52.285662,52.714233
44,52.285662,52.714233
51,52.714233,52.999947
44,52.714233,52.999947
51,52.999947,53.14280399999999
44,52.999947,53.14280399999999
46,53.14280399999999,53.571374999999996
39,53.14280399999999,53.571374999999996
46,53.571374999999996,53.999945999999994
39,53.571374999999996,53.999945999999994
46,53.999945999999994,54.428517
39,53.999945999999994,54.428517
46,54.428517,54.71423099999999
39,54.428517,54.71423099999999
46,54.71423099999999,54.857088
39,54.71423099999999,54.857088
48,54.857088,55.285659
41,54.857088,55.285659
48,55.285659,55.71422999999999
41,55.285659,55.71422999999999
48,55.71422999999999,56.142801
